Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
JNJ.N,1/2/2011,92.05205731,48.80380643,5.555555556,99.15254237,95.37037037,81.57894737,87.66233766,93.05555556,82.46753247,97.82608696,93.49142281,99.44500505,76
JNPR.N,12/31/2018,69.40750816,41.5219359,13.63636364,81.11111111,63.0952381,94.11764706,70.16129032,23.07692308,86.29032258,63.39285714,65.08587041,59.19203747,67.82178218
JNPR.N,12/31/2017,67.13412988,66.90039827,66.66666667,76.25,65.27777778,94.11764706,75,28.57142857,82.40740741,51.96078431,74.04656764,45.54395825,32.46110325
JNPR.N,12/31/2016,61.9964892,61.9964892,92.85714286,84.28571429,63.79310345,92.85714286,82.29166667,32.25806452,83.33333333,63.95348837,39.62548429,42.33749462,57.76923077
JNPR.N,12/31/2015,58.8905346,58.8905346,75,83.33333333,70,93.47826087,75.64102564,7.142857143,80.76923077,66.17647059,40.20522388,35.66542289,33
JNPR.N,12/31/2014,45.29928545,45.29928545,100,79.54545455,62.5,32.5,48.21428571,30.95238095,82.14285714,75,13.43360996,31.48340249,30.33395176
JNPR.N,12/31/2013,47.14436927,47.14436927,78.57142857,72.5,57.5,34.21052632,57.40740741,25,66.66666667,82,24.48240166,33.07453416,32.9379562
JNPR.N,12/31/2012,58.03387782,58.03387782,100,72.5,60.52631579,39.47368421,66,23.52941176,78,80.43478261,34.86570248,81.66322314,69.87179487
JNPR.N,12/31/2011,56.64994375,56.64994375,88.88888889,52.77777778,52.77777778,44.44444444,62,19.23076923,78,84.7826087,48.62244898,53.92857143,36.32887189
JNPR.N,12/31/2010,51.61706124,51.61706124,100,47.36842105,58.33333333,52.77777778,62,0,90,58.69565217,35.57013118,35.57013118,76
JNPR.N,12/31/2009,55.20775362,55.20775362,94.44444444,41.66666667,61.76470588,55.88235294,63.04347826,0,67.39130435,45.45454545,70.4569055,22.58566978,77.87810384
