Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
BIO.N,BIO-RAD LABS A,Bio Rad Laboratories Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
BK.N,BANK NY MELLON,Bank of New York Mellon Corp,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC)
BKNG.OQ,BOOKING HOLDINGS,Booking Holdings Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Travel Agents
BKR.N,BAKER HUGHE COMP,Baker Hughes Co,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment (NEC)
BLK.N,BLACKROCK INC,BlackRock Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC)
BLL.N,BALL CORP,Ball Corp,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging (NEC)
BMY.N,BRISTOL MYERS SQ,Bristol-Myers Squibb Co,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
BR.N,BROADRIDGE FINCL,Broadridge Financial Solutions Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services (NEC)
BRKb.N,BERKSHRE CL B,Berkshire Hathaway Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
BSX.N,BOSTON SCIEN CP,Boston Scientific Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
BWA.N,BORGWARNER,Borgwarner Inc,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)"
BXP.N,BOSTON PPTY,Boston Properties Inc,Financials,Real Estate,Residential & Commercial REITs,Office REITs
C.N,CITIGROUP,Citigroup Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
CAG.N,CONAGRA BRANDS,Conagra Brands Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
